num,Date,i01,i02,i03,i04,i05,i06,i07,i08,i09,i10,i11,i12,i13,i14,i15,i16,i17,gen,age
155,2017-10-30 19:13:00,5,2,4,6,4,2,1,5,3,2,3,2,7,6,6,1,1,,
156,2017-10-30 19:20:22,3,3,4,3,3,4,2,4,4,2,3,4,4,3,4,3,2,,
157,2017-10-30 23:10:03,6,4,5,4,5,3,4,5,5,2,5,2,6,6,6,5,4,,
158,2017-10-30 23:25:24,5,2,3,3,3,4,2,5,4,4,3,3,5,5,5,3,1,,
159,2017-10-31 00:51:10,6,4,6,6,5,2,1,7,6,2,5,3,7,7,7,3,2,,
160,2017-10-31 07:01:41,7,4,5,7,7,1,1,7,6,4,4,2,6,7,6,1,2,,
161,2017-10-31 08:42:19,4,3,6,6,6,3,4,5,6,2,6,2,6,6,6,6,6,,
162,2017-10-31 10:42:43,5,3,5,6,3,1,1,6,6,2,4,3,6,7,6,2,2,,
163,2017-10-31 16:12:52,5,1,4,4,2,2,1,6,2,3,4,3,5,6,5,1,1,,
164,2017-10-31 16:50:11,5,1,3,5,1,7,1,6,1,1,1,1,6,5,5,1,1,,
165,2017-10-31 18:33:46,5,4,4,5,4,3,2,4,4,4,3,5,5,5,5,3,3,,
166,2017-10-31 20:03:40,5,4,4,4,5,4,3,5,4,4,3,4,4,5,5,2,3,,
167,2017-10-31 20:30:29,6,4,4,5,4,2,1,5,3,3,1,3,5,5,5,1,2,,
168,2017-10-31 20:33:29,6,3,7,6,5,1,5,7,6,2,6,1,6,6,5,5,1,,
169,2017-10-31 21:04:12,5,4,1,5,1,7,1,7,1,1,1,1,5,5,5,1,1,,
170,2017-10-31 21:34:01,5,4,4,6,3,1,1,6,3,3,3,4,7,7,6,4,1,,
171,2017-10-31 21:56:12,6,7,6,4,4,2,1,6,7,1,2,1,6,6,6,2,2,,
172,2017-10-31 22:18:24,6,4,5,5,4,2,1,6,3,4,2,5,5,3,3,1,1,,
173,2017-10-31 22:48:13,5,4,4,7,3,3,2,6,5,4,3,4,5,6,5,2,3,,
174,2017-10-31 23:00:24,4,3,2,4,4,2,1,6,1,3,2,5,4,4,6,1,4,,
175,2017-10-31 23:46:03,5,4,5,5,4,3,1,6,3,2,4,3,5,6,5,2,2,,
176,2017-11-01 07:42:13,4,3,4,5,4,3,3,5,3,3,3,4,4,5,6,3,3,,
177,2017-11-01 07:56:30,6,3,4,6,3,1,1,6,4,4,4,4,7,5,5,3,2,,
178,2017-11-01 08:52:49,6,2,2,6,2,4,1,5,2,3,2,4,4,4,5,2,4,,
179,2017-11-01 12:19:40,6,2,4,7,3,2,1,7,3,4,3,4,6,5,5,1,1,,
180,2017-11-01 14:14:48,6,7,4,5,3,3,1,7,1,3,5,3,7,6,6,1,1,,
181,2017-11-01 15:48:39,5,4,6,5,5,3,2,6,6,2,4,2,6,5,5,3,3,,
182,2017-11-01 16:54:01,5,4,3,5,5,2,2,5,4,4,2,3,4,4,5,1,5,,
183,2017-11-01 18:05:44,6,4,4,6,3,3,2,3,3,4,3,4,5,4,6,4,1,,
184,2017-11-01 20:20:41,6,4,4,6,3,2,1,6,2,2,3,4,5,5,6,1,1,,
185,2017-11-01 21:10:59,6,4,4,5,3,3,1,5,2,5,3,2,6,5,6,1,1,,
186,2017-11-01 22:22:55,4,1,1,2,1,4,1,6,1,1,1,6,4,4,4,1,2,,
187,2017-11-02 00:20:29,5,4,5,4,6,3,3,3,6,2,4,2,4,4,5,1,2,,
188,2017-11-02 00:25:56,6,2,6,6,4,1,1,7,5,1,4,1,6,6,6,2,1,,
189,2017-11-02 10:27:54,6,2,5,6,4,1,3,6,4,1,5,1,5,6,6,4,1,,
190,2017-11-02 13:22:22,5,3,3,5,3,2,1,5,4,4,3,2,5,5,6,1,1,,
191,2017-11-02 14:09:53,5,2,3,4,3,4,2,5,2,3,3,3,4,4,5,2,2,,
192,2017-11-02 14:24:54,3,7,5,1,1,4,1,7,4,4,4,4,6,6,6,6,6,,
193,2017-11-02 22:23:13,4,3,3,5,3,2,1,6,3,4,3,3,6,5,5,2,1,,
194,2017-11-02 22:45:56,5,1,3,5,2,2,1,4,1,1,1,2,5,4,4,1,1,,
195,2017-11-02 22:55:08,5,3,4,6,3,5,1,6,4,2,1,2,4,5,5,1,1,,
196,2017-11-03 00:00:41,5,4,4,5,5,6,1,7,5,4,4,4,6,5,5,1,1,,
197,2017-11-03 02:21:06,6,3,4,5,4,2,3,6,5,2,3,3,6,6,6,3,2,,
198,2017-11-03 06:55:10,5,6,4,4,5,1,1,4,3,1,3,1,6,3,6,1,1,,
199,2017-11-03 10:41:39,5,2,2,6,2,2,1,6,3,2,3,3,6,6,6,2,1,,
200,2017-11-03 13:31:41,6,1,1,6,3,4,1,6,1,4,2,1,5,5,6,1,6,,
201,2017-11-03 14:52:47,4,1,7,6,6,2,1,7,6,4,5,4,7,5,6,5,2,,
202,2017-11-03 14:57:43,5,4,5,6,6,2,1,6,4,2,2,2,5,5,6,2,3,,
203,2017-11-03 15:40:49,5,4,3,5,3,2,1,6,3,2,2,4,5,5,6,1,3,,
204,2017-11-03 17:00:05,5,3,5,6,4,2,1,5,2,4,1,4,2,5,5,1,1,,
205,2017-11-03 17:04:30,5,2,3,4,3,5,2,5,3,6,3,5,4,4,5,2,2,,
206,2017-11-04 09:51:18,4,1,4,4,3,3,1,4,3,4,4,1,4,4,5,1,1,,
207,2017-11-04 18:05:25,6,4,3,4,2,5,1,6,1,3,4,6,6,6,6,1,1,,
208,2017-11-04 20:19:42,6,1,1,5,1,5,1,5,1,1,1,1,5,5,5,2,1,,
209,2017-11-05 09:04:11,5,4,1,6,2,5,1,3,2,3,1,2,3,4,5,1,1,,
210,2017-11-05 13:27:13,5,2,6,6,4,1,1,6,6,1,4,1,6,6,7,2,1,,
211,2017-11-05 16:38:03,5,3,2,4,4,2,1,6,2,2,2,2,5,5,5,6,4,,
212,2017-11-05 18:14:20,6,1,1,6,2,1,1,7,2,1,1,1,3,3,7,1,1,,
213,2017-11-05 19:20:52,5,3,5,4,4,3,1,6,3,4,4,2,5,5,6,2,2,,
214,2017-11-05 21:58:01,4,3,4,4,4,3,2,4,3,3,4,3,4,4,4,4,3,,
215,2017-11-05 22:36:52,5,4,5,6,6,2,1,6,2,2,4,4,6,6,6,3,1,,
216,2017-11-05 23:19:19,6,3,3,6,4,2,1,6,4,4,3,3,4,5,5,1,2,,
217,2017-11-05 23:39:52,5,2,6,6,3,2,4,7,3,2,5,3,4,4,4,2,2,,
218,2017-11-06 10:06:50,5,2,4,6,4,2,1,5,4,3,4,2,5,5,4,3,3,,
219,2017-11-06 10:29:23,4,4,2,5,3,2,1,4,2,4,3,5,5,6,6,1,2,,
220,2017-11-06 10:33:16,5,2,2,7,4,3,2,6,2,3,2,5,5,6,6,2,2,,
221,2017-11-06 11:19:42,4,3,4,5,2,3,1,6,4,5,2,3,4,3,5,1,1,,
222,2017-11-06 11:42:34,6,4,4,7,1,1,1,6,1,4,4,4,6,6,6,1,1,,
223,2017-11-06 11:58:33,7,6,1,5,6,2,1,7,2,2,2,6,6,7,5,1,7,,
224,2017-11-06 18:14:03,5,4,4,6,2,1,1,5,4,3,2,6,5,5,5,2,2,,
225,2017-11-06 21:25:20,5,3,4,6,3,3,3,1,1,4,4,3,5,5,5,2,1,,
226,2017-11-06 22:04:46,4,6,3,4,4,3,1,6,3,1,2,4,5,4,5,4,4,,
227,2017-11-06 22:49:19,5,2,4,6,4,2,2,6,4,4,4,4,5,5,6,2,2,,
228,2017-11-06 23:32:49,4,4,4,3,4,3,1,4,5,4,5,1,4,5,4,2,2,,
229,2017-11-07 17:57:21,5,3,2,5,3,1,1,5,4,1,5,1,5,5,6,1,1,,
230,2017-11-08 16:27:23,5,3,6,6,5,2,2,6,4,3,3,3,4,4,5,1,2,,
231,2017-11-08 19:42:14,4,1,1,5,1,2,1,5,1,2,1,7,3,5,5,1,1,,
232,2017-11-08 20:04:52,6,4,4,7,5,1,1,7,3,1,6,3,7,7,7,1,3,,
233,2017-11-10 13:13:31,6,6,4,6,4,5,1,7,3,5,4,4,5,5,6,1,1,,
234,2017-11-10 18:25:51,7,4,2,3,3,1,1,7,2,1,5,4,7,7,7,3,1,,
235,2017-11-11 10:42:21,5,2,4,5,4,5,2,5,2,4,2,4,4,4,5,1,1,,
236,2017-11-11 13:08:36,4,3,4,3,5,5,3,6,5,1,5,2,5,5,6,5,3,,
237,2017-11-11 16:58:15,6,3,1,6,1,2,1,7,1,3,1,5,6,5,6,1,1,,
238,2017-11-11 19:33:38,5,3,4,6,2,5,1,7,1,4,4,5,7,6,6,1,4,,
239,2017-11-11 21:58:47,7,3,4,5,2,2,1,7,2,4,5,4,4,6,6,1,2,,
240,2017-11-12 11:57:14,4,3,5,4,6,5,2,4,4,5,3,2,3,4,3,1,2,,
241,2017-11-12 13:03:22,4,7,7,5,7,6,1,7,7,5,7,1,7,7,7,7,7,,
242,2017-11-12 15:44:02,5,3,4,4,4,2,1,5,4,3,4,3,5,4,4,1,2,,
243,2017-11-12 18:00:47,4,2,4,6,2,1,1,7,1,5,4,3,5,6,6,2,2,,
244,2017-11-12 20:36:42,5,3,3,5,3,3,2,5,3,3,3,3,5,5,5,2,6,,
245,2017-11-12 20:54:15,4,1,6,5,5,1,1,5,4,4,4,1,5,5,3,3,1,,
246,2017-11-12 22:08:50,6,2,4,6,2,3,1,5,4,2,4,2,4,5,6,1,1,,
247,2017-11-13 12:12:39,5,1,3,4,3,3,1,4,2,2,1,2,4,4,4,1,1,,
248,2017-11-13 12:28:44,4,4,4,5,3,5,1,5,3,4,3,5,4,4,4,1,4,,
249,2017-11-13 13:40:00,5,2,4,4,3,2,1,5,4,2,4,2,4,3,4,1,2,,
250,2017-11-13 15:16:25,5,1,4,6,4,1,1,5,4,2,4,2,5,6,7,1,1,,
251,2017-11-13 19:39:01,6,4,3,5,2,2,2,6,3,5,2,6,6,6,6,1,1,,
252,2017-11-14 00:21:38,6,6,4,7,4,5,1,7,5,7,2,2,7,6,6,1,1,,
253,2017-11-18 08:53:54,5,2,3,6,2,1,1,6,4,4,3,4,6,6,7,1,2,,
254,2017-11-18 16:48:13,1,1,1,2,2,2,1,2,1,1,1,1,2,2,2,1,1,,
255,2017-11-18 22:21:11,6,3,2,5,4,2,1,6,2,7,6,4,5,5,6,2,2,,
256,2017-11-19 10:53:30,6,4,4,6,5,3,1,5,2,4,1,4,6,6,5,1,2,,
257,2018-05-15 14:03:00,4,4,4,1,1,1,1,5,1,1,1,2,7,2,2,1,2,,
258,2018-05-15 14:09:06,6,2,4,4,4,2,2,5,4,3,2,3,4,3,5,1,1,,
259,2018-05-15 15:41:41,5,1,1,4,1,1,1,7,1,4,1,7,3,5,6,1,1,,
260,2018-05-15 16:36:32,5,4,2,3,3,2,3,5,2,4,2,5,4,4,4,4,3,,
261,2018-05-15 17:44:06,6,2,5,6,2,2,2,6,3,5,5,3,6,6,6,1,1,,
262,2018-05-15 19:54:21,5,3,5,6,3,2,3,6,5,2,4,1,6,5,6,3,4,,
263,2018-05-15 20:02:59,5,3,4,5,3,5,4,6,3,3,5,4,5,5,5,3,1,,
264,2018-05-15 20:16:20,4,6,3,3,3,4,1,6,4,6,3,3,4,4,4,1,4,,
265,2018-05-15 20:58:33,6,3,1,5,3,3,2,4,4,3,3,6,5,5,4,2,2,,
266,2018-05-15 21:07:58,6,3,3,7,3,2,1,7,3,3,1,6,5,6,6,1,1,,
267,2018-05-15 21:45:39,5,2,7,6,5,1,4,5,6,2,6,2,5,6,6,5,4,,
268,2018-05-15 21:58:34,4,2,4,5,4,2,1,6,5,1,4,4,6,3,4,3,1,,
269,2018-05-15 22:56:35,5,6,4,4,6,6,1,6,4,3,3,3,4,4,4,1,1,,
