"num","Date","i01","i02","i03","i04","i05","i06","i07","i08","i09","i10","i11","i12","i13","i14","i15","i16","i17","gen","age","Dominancia","Prestigio"
134,"30/10/2017 11:14",5,3,3,4,3,2,1,4,1,6,1,7,2,2,2,1,1,NA,NA,1.625,4.11111111111111
135,"30/10/2017 11:36",5,2,4,5,6,2,3,7,6,1,7,1,5,5,7,4,1,NA,NA,5.5,5.88888888888889
136,"30/10/2017 11:44",5,4,2,5,4,1,1,6,4,1,6,2,4,4,6,4,3,NA,NA,4.25,5.11111111111111
137,"30/10/2017 11:58",5,5,4,6,6,1,1,6,1,1,4,1,6,4,7,2,1,NA,NA,4,5.66666666666667
138,"30/10/2017 12:00",6,2,4,2,3,4,3,5,6,6,4,2,2,6,6,6,6,NA,NA,4.25,4.33333333333333
139,"30/10/2017 12:05",5,3,4,7,3,1,1,1,3,1,1,3,7,7,7,4,1,NA,NA,3.5,5.88888888888889
140,"30/10/2017 12:46",5,4,4,4,2,4,1,4,4,3,4,4,4,4,3,1,2,NA,NA,3.125,4.22222222222222
141,"30/10/2017 12:50",2,1,4,5,4,1,1,5,4,3,4,3,4,4,5,2,2,NA,NA,3.625,5
142,"30/10/2017 13:28",5,3,5,5,6,2,3,5,6,4,5,2,5,6,5,1,2,NA,NA,4.5,5.33333333333333
143,"30/10/2017 13:31",4,2,2,4,2,2,1,5,1,3,2,2,1,4,4,1,5,NA,NA,2.5,4.11111111111111
144,"30/10/2017 13:47",5,3,1,6,3,1,1,5,4,4,1,1,7,5,7,2,1,NA,NA,2.875,6
145,"30/10/2017 14:11",4,3,6,5,6,3,3,4,6,2,4,2,3,3,4,4,3,NA,NA,5.125,4.22222222222222
146,"30/10/2017 14:34",6,2,6,5,5,3,1,6,6,2,6,2,5,4,5,2,1,NA,NA,4.75,5.44444444444444
147,"30/10/2017 15:52",6,4,6,4,6,4,3,6,4,3,5,4,4,6,6,1,4,NA,NA,4.25,4.88888888888889
148,"30/10/2017 16:02",6,4,5,5,5,4,2,4,5,2,5,3,4,4,5,3,3,NA,NA,4.5,4.55555555555556
149,"30/10/2017 16:20",5,4,3,3,5,4,3,5,5,4,3,3,4,4,4,3,1,NA,NA,3.875,4.44444444444444
150,"30/10/2017 16:28",4,3,4,5,6,3,3,5,5,4,5,4,4,5,7,3,3,NA,NA,4.25,5
151,"30/10/2017 16:55",4,1,1,1,1,1,1,3,1,1,1,1,6,6,6,1,4,NA,NA,2.5,4.88888888888889
152,"30/10/2017 17:39",4,3,1,5,3,1,1,5,1,2,2,3,3,6,6,1,2,NA,NA,2.5,5.22222222222222
153,"30/10/2017 18:16",5,4,6,6,3,2,1,6,5,7,3,3,2,4,5,2,2,NA,NA,3.25,4.88888888888889
154,"30/10/2017 18:45",4,4,5,5,4,2,1,6,4,1,3,3,5,5,5,5,1,NA,NA,4.25,5.22222222222222
155,"30/10/2017 19:13",5,2,4,6,4,2,1,5,3,2,3,2,7,6,6,1,1,NA,NA,3.5,6
156,"30/10/2017 19:20",3,3,4,3,3,4,2,4,4,2,3,4,4,3,4,3,2,NA,NA,3.625,4
157,"30/10/2017 23:10",6,4,5,4,5,3,4,5,5,2,5,2,6,6,6,5,4,NA,NA,5.125,5.11111111111111
158,"30/10/2017 23:25",5,2,3,3,3,4,2,5,4,4,3,3,5,5,5,3,1,NA,NA,3.375,5
159,"31/10/2017 0:51",6,4,6,6,5,2,1,7,6,2,5,3,7,7,7,3,2,NA,NA,4.625,6.22222222222222
160,"31/10/2017 7:01",7,4,5,7,7,1,1,7,6,4,4,2,6,7,6,1,2,NA,NA,4.25,6.33333333333333
161,"31/10/2017 8:42",4,3,6,6,6,3,4,5,6,2,6,2,6,6,6,6,6,NA,NA,5.75,5
